sha, contributor, date, message
524c60293, abeauvois, Fri Nov 13 10:40:39 2020, "back to db import"
c4a5c8c4a, abeauvois, Thu Nov 12 16:06:45 2020, "Merge branch 'master' into ui/ab/integration_tests"
50524440b, abeauvois, Thu Nov 12 16:03:21 2020, "fix empty projects"
ce0dc40e4, abeauvois, Thu Nov 12 16:01:36 2020, "back to db singleton"
78e3af63e, abeauvois, Thu Nov 12 11:09:41 2020, "Merge branch 'master' into ui/ab/integration_tests"
1c136e387, abeauvois, Thu Nov 12 09:23:44 2020, "refactor db initialization"
5286ecb57, abeauvois, Tue Nov 10 17:08:37 2020, "Merge remote-tracking branch 'origin/master'"
22ab0a5d0, abeauvois, Tue Nov 10 17:08:30 2020, "fix shared empty"
cbcdd86f9, abeauvois, Tue Nov 10 16:50:07 2020, "tmp"
789ef2a0c, abeauvois, Tue Nov 10 16:27:59 2020, "tmp"
37ec0152d, abeauvois, Tue Nov 10 16:27:43 2020, "overmind V27"
3263da704, abeauvois, Tue Nov 10 13:58:40 2020, "move me on top of sharers list"
de68ca093, abeauvois, Tue Nov 10 11:40:53 2020, "hide trash icon in sharers list when me not owner of the project (only the owner can revoke)"
d7506c767, abeauvois, Tue Nov 10 10:04:44 2020, "cleanup intercom setup"
f722ee441, abeauvois, Tue Nov 10 08:49:41 2020, "fix sharers empty"
d0a69a74d, abeauvois, Mon Nov 9 19:24:50 2020, "Merge remote-tracking branch 'origin/master'"
babba8855, abeauvois, Mon Nov 9 19:21:05 2020, "Merge remote-tracking branch 'origin/ui/ab/listen_all_me' into review"
25e8bec9c, abeauvois, Mon Nov 9 19:16:50 2020, "Merge branch 'master' into review"
355fe55b1, abeauvois, Mon Nov 9 19:04:55 2020, "Merge branch 'master' into ui/ab/listen_all_me"
e98d71966, abeauvois, Mon Nov 9 19:03:51 2020, "fix missing sharer's role"
3c5faca41, abeauvois, Mon Nov 9 15:31:52 2020, "add integration test R4"
e195e12f3, abeauvois, Mon Nov 9 15:27:29 2020, "refactor sharers state"
